zoneName,MarriedABS,MarriedSP,LoneParentABS,LoneParentSP,U15ChildABS,U15ChildSP,StudentABS,StudentSP,O15ChildABS,O15ChildSP,RelativeABS,RelativeSP,GroupHholdMembersABS,GroupHholdMembersSP,LonePersonABS,LonePersonSP,UnknownABS,UnknownSP
1190812,250,250,20,18,75,75,33,33,32,32,15,15,12,10,30,30,0,0
1190811,205,205,25,23,106,106,42,42,23,23,6,6,4,18,24,23,0,0
1190810,43,44,3,0,14,14,3,3,0,0,0,0,0,0,9,9,0,0
1190913,120,120,32,33,50,50,16,16,20,20,0,0,18,18,55,53,0,0
1190912,57,57,12,9,16,16,4,0,3,6,8,8,16,16,35,35,0,0
1190911,107,106,15,14,14,14,3,3,10,10,5,8,51,71,68,63,0,0
1190910,89,89,18,13,42,42,15,15,16,16,0,0,8,4,19,19,0,0
1190804,161,157,31,31,63,63,12,12,18,18,11,11,7,12,55,55,0,0
1190102,126,126,10,13,63,63,14,14,13,13,3,3,0,0,12,12,0,0
1190803,23,23,8,9,8,11,3,3,3,3,0,0,3,4,14,14,0,0
1190105,156,156,19,21,95,95,13,13,28,28,0,0,3,1,9,6,0,0
1190806,112,112,13,16,40,40,20,20,14,16,6,6,5,4,25,22,0,0
1190104,140,140,15,13,65,65,16,16,15,15,4,4,0,0,29,27,0,0
1190805,131,131,22,24,57,57,8,8,11,11,9,9,0,3,17,19,0,0
1190101,139,139,13,11,78,78,24,24,10,10,0,0,3,5,7,8,0,0
1190802,174,174,42,40,75,75,24,24,23,23,0,8,4,7,47,45,0,0
1190801,110,110,24,23,49,49,5,5,11,11,10,10,3,3,49,48,0,0
1190202,52,51,3,0,20,20,7,7,9,0,0,0,0,8,8,8,0,0
1190808,87,88,6,4,28,28,5,5,4,4,9,9,4,4,9,8,0,0
1190201,44,44,4,4,14,14,5,5,6,16,3,3,0,0,6,4,0,0
1190807,141,141,39,39,54,54,14,14,13,13,6,6,13,13,54,54,0,0
1190204,108,109,18,15,37,37,15,15,6,6,6,6,6,0,13,13,0,0
1190203,78,78,12,12,32,32,3,3,5,5,3,3,14,14,12,11,0,0
1190809,85,84,29,32,35,35,9,9,16,16,6,6,0,0,38,38,0,0
1190207,198,198,18,23,67,67,26,26,16,16,0,0,6,4,20,21,0,0
1190208,207,207,29,27,83,83,39,39,17,20,8,8,9,13,49,47,0,0
1190205,128,128,20,19,72,72,13,13,10,13,0,0,6,6,9,9,0,0
1190206,94,95,17,14,32,32,7,14,8,8,0,0,7,5,16,14,0,0
1190209,124,124,20,22,52,52,25,25,8,8,3,3,11,0,18,22,0,0
1190108,256,256,34,32,160,160,15,24,24,24,3,3,0,0,33,31,0,0
1190109,150,150,23,23,88,88,33,33,23,23,3,3,3,14,20,21,0,0
1190106,165,164,16,19,74,74,34,34,18,18,0,2,0,0,14,13,0,0
1190107,127,127,12,9,77,77,15,15,10,10,0,0,0,6,6,7,0,0
1190113,127,128,15,16,67,67,18,18,11,14,7,7,7,10,14,14,0,0
1190112,186,186,14,16,82,82,24,24,6,15,6,6,9,5,6,6,0,0
1190111,115,115,28,27,55,55,20,20,12,12,7,8,6,3,13,18,0,0
1190110,80,81,10,9,38,38,13,13,11,11,0,0,4,4,7,6,0,0
1190211,87,87,10,8,35,35,13,13,7,7,6,6,6,20,9,5,0,0
1190210,139,139,27,26,55,55,18,19,6,6,6,6,12,16,60,59,0,0
1192107,102,102,35,37,45,45,9,9,9,9,9,9,0,0,52,52,0,0
1192106,129,130,55,56,53,53,18,18,22,22,15,15,3,5,44,47,0,0
1192105,218,217,96,96,132,132,54,54,43,43,14,14,5,5,26,26,0,0
1192104,106,107,38,38,42,42,6,6,14,14,10,10,3,2,57,59,0,0
1192103,71,72,18,20,25,25,3,4,17,17,3,3,6,6,24,23,0,0
1192102,176,176,38,37,64,64,10,10,21,21,10,10,0,0,47,47,0,0
1192101,114,114,36,37,50,50,9,9,17,17,3,3,5,0,30,30,0,0
1192111,87,84,15,15,27,27,0,0,8,8,6,6,8,14,15,17,0,0
1192113,55,55,16,11,22,22,3,3,6,6,3,3,0,0,46,43,0,0
1192110,148,148,46,48,48,48,10,11,28,28,16,16,0,6,47,45,0,0
1192911,85,85,41,43,44,44,7,11,12,12,4,4,12,12,36,35,0,0
1192108,40,41,4,0,15,15,0,0,11,11,0,0,3,3,0,0,0,0
1192912,109,109,19,22,48,48,13,13,8,8,9,9,3,0,32,32,0,0
1192109,195,195,29,25,70,70,20,20,21,21,16,16,4,9,48,48,0,0
1192910,93,93,16,12,49,49,10,10,17,17,11,11,6,4,10,10,0,0
1181602,56,53,6,5,8,8,6,6,0,1,0,0,0,0,9,9,0,0
1181601,140,141,15,15,57,57,11,11,4,6,6,6,0,3,31,29,0,0
1192908,150,150,42,42,70,70,9,9,14,14,9,9,3,3,40,35,0,0
1192909,136,137,35,32,56,56,7,18,27,27,6,6,9,9,32,33,0,0
1190901,103,104,22,23,38,38,7,7,17,17,3,3,4,2,46,45,0,0
1190902,135,135,31,29,46,46,20,20,20,20,6,6,0,8,21,18,0,0
1190903,190,190,37,37,85,85,15,15,21,21,3,3,13,10,136,136,0,0
1190904,41,42,6,9,4,4,0,3,0,4,0,0,3,0,18,18,0,0
1190905,106,106,20,20,49,49,9,9,10,10,4,4,3,3,24,24,0,0
1192902,139,139,16,15,60,60,25,25,19,19,7,7,0,3,23,22,0,0
1190906,71,72,17,18,36,36,7,7,11,11,0,0,6,7,18,18,0,0
1192903,133,128,22,24,57,57,16,16,14,14,3,3,5,11,18,18,0,0
1190907,84,84,24,21,34,34,7,7,5,5,6,6,9,15,38,40,0,0
1190908,150,150,42,42,71,71,20,20,16,16,12,12,14,27,66,70,0,0
1192901,129,122,22,19,75,75,11,11,15,15,9,9,0,0,35,34,0,0
1190909,99,99,31,32,39,39,10,10,18,18,10,10,57,57,53,53,0,0
1192906,131,131,26,24,65,65,9,9,18,18,6,6,0,0,22,25,0,0
1192907,162,162,24,22,77,77,13,13,27,27,5,5,3,2,22,21,0,0
1192904,155,151,35,35,73,73,13,13,17,17,4,4,0,0,35,34,0,0
1192905,100,94,20,23,38,38,5,5,15,15,6,6,4,12,19,18,0,0
1191008,69,66,13,13,24,24,9,9,8,8,10,10,56,65,29,24,0,0
1191009,37,37,11,13,24,24,5,5,3,3,0,0,0,0,15,16,0,0
1191010,220,220,40,41,88,88,22,22,30,30,24,24,22,22,44,44,0,0
1191012,248,249,12,11,82,82,36,36,25,26,9,9,3,1,15,13,0,0
1191011,74,69,11,14,33,33,5,5,10,10,3,3,3,6,27,25,0,0
1181301,108,109,13,13,43,43,13,13,9,9,5,5,0,4,12,11,0,0
1181609,90,90,5,5,18,18,9,9,4,4,0,0,0,2,15,15,0,0
1181608,117,118,20,21,33,33,16,16,0,3,0,0,12,11,35,34,0,0
1181413,92,93,21,23,35,35,7,7,6,6,0,0,0,2,17,17,0,0
1181607,52,53,7,8,19,19,7,7,6,6,0,0,0,6,7,7,0,0
1181412,92,92,21,18,47,47,14,14,13,13,6,6,3,2,25,24,0,0
1181606,64,64,3,4,22,22,3,3,0,2,3,3,0,6,18,16,0,0
1181411,36,36,9,7,6,6,3,3,0,2,0,0,0,3,6,6,0,0
1181305,75,76,9,11,14,14,3,3,6,8,6,6,3,3,33,33,0,0
1181605,134,134,6,9,62,62,16,18,8,8,3,3,3,6,6,4,0,0
1181410,55,55,3,3,12,12,4,4,0,2,0,0,3,0,4,4,0,0
1181304,91,91,12,15,23,23,4,8,5,5,4,4,0,1,26,25,0,0
1181604,57,57,6,0,10,10,4,4,0,0,0,0,3,3,13,12,0,0
1181303,73,73,21,26,39,39,8,8,8,12,3,3,3,0,18,16,0,0
1181603,142,143,21,22,64,64,8,8,9,12,0,0,7,6,9,9,0,0
1181302,61,61,5,6,11,11,0,0,6,7,3,3,0,0,12,11,0,0
1181206,140,140,27,27,52,52,4,7,6,9,9,9,8,8,33,33,0,0
1181205,234,234,37,44,118,118,11,13,13,22,12,12,8,14,31,31,0,0
1181204,124,123,23,22,35,35,6,9,4,8,6,6,7,9,24,22,0,0
1181203,101,101,25,21,43,43,7,7,5,5,0,0,5,10,24,24,0,0
1181202,93,93,31,30,34,34,4,4,10,10,7,7,6,6,29,29,0,0
1181201,127,127,25,27,53,53,13,13,11,19,3,3,9,7,38,38,0,0
1181409,68,68,3,3,29,29,4,4,3,3,3,3,3,0,12,12,0,0
1181610,70,71,9,7,22,22,6,6,5,5,6,6,0,0,16,16,0,0
1181611,94,94,15,14,37,37,6,6,0,4,3,3,0,0,34,34,0,0
1181407,98,98,9,10,38,38,3,3,9,15,0,0,0,4,11,9,0,0
1181408,96,96,7,9,19,19,3,3,3,3,0,0,5,3,16,18,0,0
1181405,128,129,6,4,44,44,13,13,10,10,6,6,0,0,6,6,0,0
1181406,122,122,17,15,63,63,12,12,9,9,3,3,6,6,33,32,0,0
1191811,94,94,39,41,40,40,6,6,14,14,3,3,3,6,64,66,0,0
1181310,127,128,17,17,26,26,3,3,8,8,6,6,9,7,32,36,0,0
1182307,97,94,41,42,64,64,12,12,6,6,16,16,0,9,21,22,0,0
1182308,28,28,0,4,7,7,0,0,0,7,0,0,0,0,11,9,0,0
1182309,81,82,6,12,34,34,0,0,6,6,0,0,3,0,6,9,0,0
1181311,58,58,16,12,18,18,7,9,3,8,3,3,6,6,22,21,0,0
1182314,126,127,15,14,50,50,11,11,6,6,4,4,6,6,8,8,0,0
1191614,205,205,46,46,102,102,20,20,19,19,18,18,15,15,52,50,0,0
1191613,142,142,16,14,33,33,17,17,18,18,9,9,6,18,31,31,0,0
1181306,115,113,21,23,32,32,7,7,11,11,3,3,0,6,37,37,0,0
1182311,105,105,18,22,52,52,8,8,7,7,6,6,9,9,19,19,0,0
1181307,77,77,13,11,29,29,5,5,3,3,3,3,0,1,26,31,0,0
1182310,145,145,29,30,60,60,20,20,9,11,4,4,6,7,19,18,0,0
1181308,94,91,20,14,36,36,9,9,0,1,0,0,0,0,23,23,0,0
1182313,142,142,22,23,47,47,8,8,9,14,3,3,4,4,18,20,0,0
1181309,129,129,9,8,15,15,3,8,0,1,3,3,3,1,22,21,0,0
1182312,123,123,16,19,48,48,9,14,9,9,3,3,12,12,18,18,0,0
1191801,227,227,12,12,104,104,39,39,23,23,9,9,6,6,20,20,0,0
1191802,150,150,17,18,75,75,13,13,24,24,9,9,0,0,12,10,0,0
1191803,143,142,21,22,55,55,19,19,18,18,6,8,0,0,13,13,0,0
1191804,91,91,7,12,35,35,8,8,16,16,6,6,6,8,19,19,0,0
1191610,177,178,29,32,55,55,15,15,23,23,16,16,15,15,52,51,0,0
1191806,134,134,61,60,78,78,15,15,20,20,8,8,6,4,42,43,0,0
1191611,170,170,24,28,67,67,18,18,21,21,6,6,7,8,39,40,0,0
1191807,140,137,17,24,53,53,18,18,21,21,6,6,9,6,47,47,0,0
1191612,114,114,21,19,28,28,4,6,14,14,12,12,3,16,56,56,0,0
1191808,126,126,21,20,44,44,13,14,15,15,0,0,3,8,34,33,0,0
1191809,110,111,15,17,29,29,15,15,7,7,13,13,8,7,27,28,0,0
1191603,65,65,11,12,17,17,5,5,16,16,0,0,6,4,21,21,0,0
1182306,152,153,22,22,47,47,5,5,9,9,0,0,8,7,23,23,0,0
1191602,76,70,13,13,23,23,7,7,15,15,6,6,0,0,11,13,0,0
1182305,120,120,23,29,47,47,11,11,6,7,3,3,3,5,29,30,0,0
1191605,100,100,16,17,34,34,3,3,9,9,7,7,9,9,27,25,0,0
1182304,147,147,21,19,75,75,12,12,9,9,4,4,0,0,22,22,0,0
1191604,86,86,18,18,24,24,7,7,9,9,3,3,18,29,33,30,0,0
1191607,139,139,23,22,44,44,28,28,27,27,5,6,6,3,33,32,0,0
1182302,64,64,15,9,21,21,3,3,9,9,4,8,0,0,9,8,0,0
1191606,87,87,4,9,35,35,14,14,10,14,0,0,0,6,8,8,0,0
1182301,56,56,7,7,28,28,5,6,6,6,0,0,0,0,3,4,0,0
1191810,160,161,24,26,80,80,21,21,17,17,7,7,0,6,18,16,0,0
1191609,72,72,19,25,26,26,5,5,4,4,7,7,3,8,30,28,0,0
1191608,95,95,14,16,58,58,14,14,12,12,9,9,4,4,19,19,0,0
1191601,165,165,22,22,53,53,20,20,18,18,15,15,0,0,29,31,0,0
1180907,95,95,15,15,16,16,5,5,7,7,0,0,3,2,46,45,0,0
1180908,121,122,23,21,35,35,8,12,9,9,9,9,7,7,18,18,0,0
1180909,53,53,12,9,17,17,3,0,3,5,7,7,6,4,16,17,0,0
1180903,99,99,24,23,45,45,7,7,6,6,3,3,6,4,30,30,0,0
1180904,58,58,17,18,20,20,4,4,8,9,0,0,0,6,12,15,0,0
1180905,65,66,9,10,10,10,0,0,6,6,5,5,6,4,14,14,0,0
1180906,145,146,13,13,28,28,5,5,17,17,7,7,8,6,22,25,0,0
1180901,31,31,12,12,24,24,4,4,8,8,3,3,3,5,13,12,0,0
1180902,131,132,18,15,38,38,16,16,6,6,9,9,3,3,16,16,0,0
1181510,140,140,16,13,39,39,14,17,4,4,4,4,0,0,29,30,0,0
1181513,84,84,11,11,48,48,5,5,5,5,4,4,3,6,10,8,0,0
1181511,158,158,20,25,49,49,15,15,0,8,6,6,3,3,18,16,0,0
1181512,82,82,6,6,14,14,8,8,0,0,0,0,6,4,23,25,0,0
1181507,72,69,4,6,17,17,10,10,5,5,0,0,3,2,13,12,0,0
1181506,50,50,0,0,11,11,0,0,0,0,3,3,4,9,18,18,0,0
1181505,45,45,3,5,6,6,5,6,0,3,3,3,3,8,15,18,0,0
1181504,97,92,13,16,23,23,4,4,10,16,3,3,0,0,36,35,0,0
1181509,122,122,20,20,30,30,5,7,5,11,6,6,6,1,28,30,0,0
1181508,59,59,3,3,24,24,4,4,3,3,0,0,0,0,17,17,0,0
1181501,105,105,22,20,41,41,15,15,4,4,4,4,3,3,27,26,0,0
1181502,50,50,19,20,15,15,5,7,3,3,3,3,6,9,20,18,0,0
1181503,84,85,19,16,29,29,3,4,9,10,3,3,0,0,24,21,0,0
1181401,64,65,0,0,17,17,7,7,3,6,0,0,0,0,8,8,0,0
1181403,43,42,6,6,14,14,3,3,5,5,0,0,0,0,0,3,0,0
1181404,77,77,15,10,25,25,6,6,9,9,0,0,3,0,19,19,0,0
1191714,146,147,32,35,71,71,19,19,30,30,3,3,6,6,12,9,0,0
1191712,198,199,12,13,82,82,24,24,38,38,10,10,3,3,10,9,0,0
1191713,52,49,19,27,28,28,0,1,6,6,6,6,3,3,22,22,0,0
1190708,226,226,16,16,106,106,23,23,11,11,12,12,3,6,35,35,0,0
1190709,78,78,26,25,27,27,5,5,12,15,3,3,8,8,62,60,0,0
1191711,245,245,21,20,74,74,21,21,26,26,4,4,4,4,36,35,0,0
1191710,106,106,47,48,54,54,14,15,17,17,6,6,6,3,42,43,0,0
1190701,157,157,22,21,49,49,15,15,14,14,6,6,0,0,25,31,0,0
1190702,212,212,20,17,109,109,25,25,15,15,13,13,0,0,72,72,0,0
1190703,115,115,27,28,50,50,10,10,11,11,6,6,3,2,49,49,0,0
1190704,168,168,40,42,67,67,13,13,25,25,9,9,3,3,49,49,0,0
1190705,125,125,15,16,46,46,8,8,7,7,12,12,3,3,33,33,0,0
1190706,125,125,29,31,63,63,13,13,11,14,11,11,0,0,44,46,0,0
1190707,69,69,15,14,21,21,6,7,13,13,3,3,0,5,55,56,0,0
1191709,100,100,39,41,50,50,10,10,8,8,13,13,3,3,46,46,0,0
1190710,115,116,17,15,47,47,11,11,11,11,12,12,4,2,11,16,0,0
1191705,112,112,28,28,57,57,9,9,31,31,12,12,0,0,16,16,0,0
1191706,161,161,48,48,63,63,10,10,35,35,6,6,6,5,46,47,0,0
1191707,68,69,12,10,25,25,9,9,7,7,8,8,3,0,15,15,0,0
1191708,216,216,39,39,99,99,23,23,39,39,4,4,0,9,27,25,0,0
1191701,55,56,24,20,20,20,3,4,22,22,4,4,3,3,12,10,0,0
1180912,82,82,15,15,23,23,3,3,3,3,3,3,9,10,15,20,0,0
1191702,109,109,21,22,38,38,9,9,29,29,16,16,6,6,18,17,0,0
1191703,171,172,29,30,64,64,24,24,20,20,6,6,3,3,22,20,0,0
1180910,67,67,14,14,14,14,7,9,7,7,4,8,0,0,16,15,0,0
1191704,132,133,11,13,61,61,15,15,15,15,12,12,0,0,15,13,0,0
1180911,82,82,9,12,29,29,11,11,10,10,3,3,6,2,18,18,0,0
1181001,163,163,11,12,70,70,8,8,18,18,10,10,0,8,4,5,0,0
1180812,67,67,5,5,12,12,6,9,0,0,0,0,4,11,12,13,0,0
1190511,153,150,11,11,52,52,21,21,13,13,0,0,3,6,6,6,0,0
1181002,153,152,19,18,66,66,11,11,9,11,0,0,0,0,17,17,0,0
1180811,54,48,9,5,19,19,0,0,0,1,0,6,3,0,4,4,0,0
1190512,148,148,28,27,61,61,17,17,17,17,6,6,6,3,60,59,0,0
1181003,108,100,15,16,37,37,9,9,0,0,6,6,6,6,16,16,0,0
1180814,58,57,6,6,11,11,0,2,0,0,3,3,0,0,23,24,0,0
1190308,104,104,12,13,45,45,11,11,10,10,0,0,0,0,18,18,0,0
1181004,72,72,10,14,22,22,6,6,8,13,0,0,4,0,17,17,0,0
1180813,68,68,13,12,21,21,5,5,5,11,3,3,0,0,5,8,0,0
1190309,240,240,26,23,108,108,22,22,20,20,3,3,0,0,15,15,0,0
1190510,89,89,32,31,45,45,16,16,22,22,3,3,9,8,36,35,0,0
1181005,53,53,10,7,16,16,5,0,3,3,4,4,3,0,11,11,0,0
1190306,152,152,14,14,47,47,18,18,16,16,7,7,7,9,23,20,0,0
1190307,71,71,22,26,26,26,14,14,6,6,0,0,3,3,43,41,0,0
1181007,37,37,9,8,21,21,3,4,0,0,0,0,6,2,6,6,0,0
1190304,176,177,23,23,84,84,20,20,15,15,9,9,7,6,22,26,0,0
1190305,138,138,22,22,76,76,27,27,17,17,9,9,4,6,24,24,0,0
1181104,58,59,12,9,16,16,8,11,0,2,0,0,0,0,19,21,0,0
1190405,59,59,9,9,12,12,11,11,3,3,0,0,4,6,26,25,0,0
1181105,77,77,16,13,28,28,7,7,10,10,0,0,0,0,14,12,0,0
1190406,80,79,34,34,48,48,15,15,10,10,6,6,6,10,55,54,0,0
1181106,74,75,9,7,19,19,4,4,0,0,0,0,0,0,18,18,0,0
1190403,106,102,25,32,59,59,22,22,18,18,0,0,6,4,18,18,0,0
1181107,65,64,21,21,23,23,6,6,3,3,4,4,3,3,47,49,0,0
1190404,55,56,7,7,21,21,11,13,8,8,3,3,7,0,10,10,0,0
1190409,231,231,34,37,103,103,12,12,19,19,12,12,16,16,49,47,0,0
1190610,83,83,45,45,51,51,15,15,13,13,3,3,0,0,22,22,0,0
1181101,77,77,14,17,19,19,6,6,0,0,8,8,4,3,37,38,0,0
1190611,154,155,38,38,58,58,15,15,13,13,7,7,6,9,49,51,0,0
1181102,59,54,5,13,16,16,5,5,0,0,0,0,3,3,14,14,0,0
1190407,188,188,15,15,67,67,18,18,14,14,9,9,3,3,21,18,0,0
1181103,45,45,6,5,12,12,3,3,3,3,0,0,0,0,20,19,0,0
1190408,154,154,13,12,37,37,14,14,10,10,12,12,3,0,35,38,0,0
1190604,101,101,21,17,60,60,19,19,17,17,6,6,7,7,15,15,0,0
1190603,80,80,21,22,32,32,3,3,7,7,9,9,9,9,50,50,0,0
1190602,155,156,41,43,63,63,16,16,13,13,18,18,3,1,46,46,0,0
1190601,104,104,28,28,39,39,8,8,7,7,0,0,13,16,53,53,0,0
1190608,90,90,96,97,141,141,22,22,28,28,10,10,3,0,32,30,0,0
1190412,87,87,22,21,38,38,11,11,7,9,9,9,6,5,38,43,0,0
1190607,96,96,17,15,41,41,6,6,12,12,3,3,12,12,45,45,0,0
1190411,82,80,17,15,25,25,9,9,6,6,3,3,3,12,41,43,0,0
1190606,146,147,34,35,45,45,24,24,22,22,15,15,9,9,31,29,0,0
1190410,99,99,11,11,47,47,13,13,10,10,7,7,3,0,18,22,0,0
1190605,104,100,21,22,23,23,11,11,0,4,3,3,4,6,38,38,0,0
1190509,82,83,14,13,36,36,10,10,8,8,9,9,10,8,6,6,0,0
1190508,126,127,17,15,40,40,23,23,28,28,7,7,0,6,12,9,0,0
1190312,96,92,34,35,45,45,12,12,10,10,0,0,0,0,19,18,0,0
1190507,263,263,19,20,119,119,20,20,25,25,0,0,0,18,27,24,0,0
1190311,126,126,24,25,60,60,18,18,19,19,6,6,3,2,30,27,0,0
1190506,174,174,15,18,87,87,19,19,8,9,0,0,6,6,6,6,0,0
1190609,97,97,20,18,31,31,4,8,7,7,9,9,6,6,47,50,0,0
1190310,94,94,15,14,33,33,8,8,8,8,6,6,3,15,23,20,0,0
1190505,72,72,11,10,43,43,11,11,7,11,6,6,7,7,21,21,0,0
1190504,207,207,39,41,105,105,27,27,24,24,10,10,4,5,52,52,0,0
1190503,122,122,42,38,51,51,16,16,18,18,3,3,9,9,65,64,0,0
1190502,129,129,24,27,58,58,13,13,3,3,5,5,0,0,47,47,0,0
1190501,65,62,25,28,27,27,10,10,6,6,0,0,4,3,17,17,0,0
1190402,204,204,37,37,95,95,24,24,18,18,6,6,9,8,33,31,0,0
1190401,105,106,33,34,50,50,18,18,16,16,9,9,7,7,39,39,0,0
1190301,181,181,26,31,87,87,22,22,24,24,11,11,12,7,33,33,0,0
1190303,132,132,20,22,49,49,31,31,18,18,9,9,7,16,37,36,0,0
1190302,91,92,18,21,31,31,20,20,9,9,4,4,6,7,27,28,0,0
1180108,142,143,15,16,71,71,26,26,6,13,6,6,3,9,14,16,0,0
1180107,51,47,0,5,10,10,0,0,8,8,0,0,0,0,10,9,0,0
1180311,43,43,9,10,21,21,4,4,0,9,6,6,0,0,6,9,0,0
1180601,108,108,14,13,42,42,15,15,9,13,9,9,6,5,12,12,0,0
1180310,203,203,21,23,78,78,25,25,12,12,6,6,3,6,71,73,0,0
1180109,149,149,21,23,76,76,31,31,20,20,4,4,0,0,15,11,0,0
1180313,75,75,6,11,21,21,9,9,9,9,3,3,6,8,16,17,0,0
1180312,36,34,0,3,3,3,0,0,0,0,0,0,6,6,12,7,0,0
1180314,81,82,6,0,24,24,16,16,6,6,0,0,0,3,0,3,0,0
1180412,168,168,6,6,97,97,21,21,13,13,10,10,9,0,0,0,0,0
1180411,107,107,6,6,54,54,17,17,6,6,5,5,4,7,9,11,0,0
1180414,33,33,8,5,9,9,3,9,3,4,0,0,0,0,6,4,0,0
1180413,83,84,9,8,37,37,11,11,8,10,3,3,3,3,0,0,0,0
1180207,178,178,16,15,47,47,25,25,21,21,8,8,9,10,31,30,0,0
1180206,145,145,12,13,45,45,14,14,12,17,0,0,9,4,31,30,0,0
1180410,163,162,16,20,63,63,20,20,18,20,6,6,3,8,7,7,0,0
1180209,146,146,29,29,59,59,13,13,9,9,9,9,9,5,38,38,0,0
1180502,87,87,11,18,30,30,11,11,7,7,6,6,3,0,38,38,0,0
1180208,130,130,24,21,52,52,27,27,8,8,0,0,3,3,21,20,0,0
1180501,82,82,6,6,24,24,14,14,3,4,15,15,3,3,7,6,0,0
1180408,107,107,9,1,44,44,5,5,8,8,4,4,6,6,6,6,0,0
1180409,59,60,4,6,16,16,11,11,3,6,3,3,0,0,8,8,0,0
1180404,77,77,0,0,25,25,12,12,3,3,3,3,0,0,15,11,0,0
1182501,180,180,42,40,77,77,17,17,24,24,7,7,9,8,67,71,0,0
1180405,94,94,0,3,27,27,10,10,3,3,3,3,4,4,13,12,0,0
1180210,56,56,11,11,12,12,7,7,0,0,4,10,3,5,23,24,0,0
1182502,82,81,20,19,20,20,8,9,4,9,0,0,5,0,34,33,0,0
1180406,90,90,16,14,47,47,8,8,18,18,3,3,0,0,6,7,0,0
1180211,196,196,26,25,91,91,23,23,14,14,3,3,0,0,24,24,0,0
1182503,98,98,30,29,37,37,7,7,10,10,0,0,5,4,35,35,0,0
1182504,136,136,31,31,41,41,13,17,10,12,6,6,4,2,43,44,0,0
1180305,76,76,5,0,26,26,15,15,0,0,6,6,0,0,13,11,0,0
1180110,204,205,21,18,83,83,50,50,22,22,6,6,0,0,10,10,0,0
1180306,73,70,3,4,20,20,10,10,3,3,6,6,5,0,13,17,0,0
1180307,65,65,14,12,20,20,3,3,7,7,6,6,6,6,21,23,0,0
1180308,98,98,12,12,45,45,24,24,10,10,0,0,6,6,18,17,0,0
1180309,152,153,18,19,80,80,25,25,9,9,3,3,7,5,36,36,0,0
1180612,55,55,11,11,15,15,0,0,5,5,4,4,0,6,63,63,0,0
1180807,56,56,12,12,18,18,0,0,3,4,6,8,0,4,22,21,0,0
1180611,158,159,30,28,76,76,15,20,10,10,4,6,3,2,28,27,0,0
1180806,84,84,6,6,17,17,3,3,6,6,0,0,6,4,39,39,0,0
1180610,135,135,16,16,77,77,17,17,7,7,6,6,0,2,16,18,0,0
1180805,142,142,10,10,42,42,5,5,3,3,0,0,12,10,36,36,0,0
1180709,136,136,34,34,91,91,10,10,9,9,6,6,7,5,40,40,0,0
1180804,66,66,12,12,24,24,5,5,9,9,4,4,0,0,6,6,0,0
1180304,76,73,5,7,16,16,11,0,8,8,3,3,0,0,8,8,0,0
1180803,207,207,31,27,73,73,15,15,16,16,0,9,0,0,71,71,0,0
1181110,90,88,4,7,24,24,6,6,6,6,5,5,0,0,8,6,0,0
1180303,231,232,27,27,88,88,28,28,15,15,7,7,0,0,31,35,0,0
